Price,Close,High,Low,Open,Volume,Prediccion_RNN,Precio_Real
2019-04-03,9487.7998046875,9491.2001953125,9436.5,9457.099609375,173813100.0,9351.201,9487.7998046875
2019-04-04,9534.099609375,9551.5,9472.0,9488.900390625,164758800.0,9446.175,9534.099609375
2019-04-05,9510.2998046875,9553.599609375,9476.5,9542.400390625,178692100.0,9527.507,9510.2998046875
2019-04-08,9437.7001953125,9495.099609375,9425.2001953125,9483.400390625,121814500.0,9508.867,9437.7001953125
2019-04-09,9407.7998046875,9511.2001953125,9388.2998046875,9428.2998046875,137599800.0,9458.734,9407.7998046875
2019-04-10,9406.5,9467.5,9395.2001953125,9423.5,152200600.0,9407.993,9406.5
2019-04-11,9445.400390625,9468.7001953125,9372.2998046875,9423.099609375,178531100.0,9396.243,9445.400390625
2019-04-12,9468.5,9509.2001953125,9390.2001953125,9441.2998046875,212327200.0,9416.962,9468.5
2019-04-15,9497.099609375,9528.400390625,9468.099609375,9488.099609375,156927200.0,9449.466,9497.099609375
2019-04-16,9497.2998046875,9543.7001953125,9462.900390625,9492.400390625,140510300.0,9474.004,9497.2998046875
2019-04-17,9549.7998046875,9580.599609375,9460.5,9486.0,193154800.0,9492.041,9549.7998046875
2019-04-18,9581.900390625,9581.900390625,9480.0,9553.7001953125,165266400.0,9519.282,9581.900390625
2019-04-23,9527.2001953125,9588.2001953125,9492.2001953125,9586.0,159546500.0,9569.525,9527.2001953125
2019-04-24,9456.400390625,9525.2001953125,9427.400390625,9506.2998046875,157933200.0,9548.119,9456.400390625
2019-04-25,9501.2001953125,9503.7998046875,9421.2998046875,9450.7998046875,147415600.0,9475.749,9501.2001953125
2019-04-26,9506.0,9527.400390625,9448.7998046875,9512.099609375,153319300.0,9475.39,9506.0
2019-04-29,9517.2001953125,9517.2001953125,9414.400390625,9435.2998046875,146296500.0,9493.474,9517.2001953125
2019-04-30,9570.599609375,9570.599609375,9455.5,9497.2998046875,186881700.0,9496.522,9570.599609375
2019-05-02,9418.2001953125,9559.7001953125,9412.2001953125,9545.5,205611000.0,9543.015,9418.2001953125
2019-05-03,9409.599609375,9450.7001953125,9388.7001953125,9427.900390625,126736800.0,9466.098,9409.599609375
2019-05-06,9331.0,9347.2001953125,9236.2998046875,9259.0,121602300.0,9388.873,9331.0
2019-05-07,9235.099609375,9404.599609375,9221.0,9332.900390625,199265700.0,9344.022,9235.099609375
2019-05-08,9227.0,9261.2001953125,9158.2998046875,9233.900390625,185752600.0,9256.946,9227.0
2019-05-09,9095.2001953125,9184.7998046875,9079.7998046875,9162.099609375,166997800.0,9219.511,9095.2001953125
2019-05-10,9117.5,9179.400390625,9099.099609375,9149.400390625,147760300.0,9132.951,9117.5
2019-05-13,9046.7998046875,9127.599609375,9025.7001953125,9127.599609375,147442300.0,9090.502,9046.7998046875
2019-05-14,9127.599609375,9127.599609375,9053.599609375,9078.2001953125,139675700.0,9054.853,9127.599609375
2019-05-15,9177.099609375,9177.099609375,9061.900390625,9143.0,143425500.0,9086.326,9177.099609375
2019-05-16,9304.2998046875,9304.2998046875,9136.7001953125,9161.400390625,157566000.0,9142.843,9304.2998046875
2019-05-17,9280.099609375,9321.599609375,9223.099609375,9278.7001953125,159798300.0,9254.635,9280.099609375
2019-05-20,9199.7001953125,9334.900390625,9177.900390625,9286.0,153317000.0,9279.754,9199.7001953125
2019-05-21,9239.099609375,9255.0,9185.2001953125,9229.0,131576400.0,9216.034,9239.099609375
2019-05-22,9232.2001953125,9288.7001953125,9182.5,9232.2998046875,146552900.0,9222.234,9232.2001953125
2019-05-23,9114.0,9186.7001953125,9098.400390625,9170.7001953125,161094300.0,9223.3,9114.0
2019-05-24,9174.599609375,9211.099609375,9141.400390625,9150.2998046875,121673100.0,9139.089,9174.599609375
2019-05-27,9216.400390625,9294.599609375,9204.7001953125,9225.900390625,60178000.0,9150.39,9216.400390625
2019-05-28,9191.7998046875,9224.900390625,9132.900390625,9220.400390625,218900800.0,9190.957,9191.7998046875
2019-05-29,9080.5,9116.7001953125,9035.099609375,9113.2001953125,148987100.0,9180.983,9080.5
2019-05-30,9157.7998046875,9175.2001953125,9114.099609375,9120.7998046875,101389200.0,9109.023,9157.7998046875
2019-05-31,9004.2001953125,9074.0,8959.5,9054.900390625,208657500.0,9122.885,9004.2001953125
2019-06-03,9022.7998046875,9022.7998046875,8903.099609375,8945.7001953125,156185500.0,9056.137,9022.7998046875
2019-06-04,9117.599609375,9138.5,8964.2001953125,8972.7001953125,197017100.0,9014.139,9117.599609375
2019-06-05,9150.5,9173.400390625,9095.0,9136.7998046875,158753000.0,9074.371,9150.5
2019-06-06,9169.2001953125,9246.2001953125,9136.7001953125,9169.2001953125,212720900.0,9147.592,9169.2001953125
2019-06-07,9236.099609375,9261.400390625,9185.7001953125,9186.7001953125,150664700.0,9152.876,9236.099609375
2019-06-10,9294.099609375,9302.2001953125,9248.099609375,9284.2001953125,102323700.0,9210.536,9294.099609375
2019-06-11,9282.099609375,9332.5,9273.400390625,9288.599609375,144701200.0,9266.419,9282.099609375
2019-06-12,9238.5,9274.599609375,9223.099609375,9244.400390625,145203300.0,9283.257,9238.5
2019-06-13,9247.099609375,9301.7001953125,9208.7998046875,9227.599609375,126134300.0,9247.48,9247.099609375
2019-06-14,9194.2001953125,9244.7001953125,9169.2998046875,9233.7998046875,114978600.0,9240.446,9194.2001953125
